    C0mS/cm     Tv290C Sbeox0ML/L Sbox0Mm/Kg        Par    WetStar      DepSM      Sal00       Flag
  56.226537    24.0565     4.5629    198.610 2.1691e+03    -0.0266      0.496    38.1496 0.0000e+00
  56.221224    24.0496     4.5369    197.483 1.7526e+03    -0.0142      0.744    38.1514 0.0000e+00
  56.234181    24.0512     4.5468    197.916 5.6664e+02    -0.0084      0.992    38.1599 0.0000e+00
  56.257970    24.0634     4.5464    197.900 7.7237e+02    -0.0292      1.240    38.1675 0.0000e+00
  56.265886    24.0786     4.5412    197.668 6.9107e+02    -0.0236      1.488    38.1605 0.0000e+00
  56.260315    24.0837     4.5433    197.762 6.8408e+02    -0.0212      1.736    38.1517 0.0000e+00
  56.252780    24.0797     4.5507    198.083 4.8567e+02    -0.0192      1.984    38.1493 0.0000e+00
  56.246096    24.0741     4.5468    197.913 5.4544e+02    -0.0259      2.232    38.1489 0.0000e+00
  56.231562    24.0679     4.5465    197.897 5.9206e+02    -0.0006      2.481    38.1429 0.0000e+00
  56.210291    24.0557     4.5466    197.902 4.4777e+02    -0.0259      2.728    38.1371 0.0000e+00
  56.191025    24.0383     4.5504    198.064 4.0704e+02    -0.0222      2.976    38.1372 0.0000e+00
  56.176490    24.0222     4.5577    198.383 4.0214e+02    -0.0360      3.224    38.1398 0.0000e+00
  56.166979    24.0102     4.5626    198.599 5.6641e+02    -0.0363      3.472    38.1426 0.0000e+00
  56.160905    24.0024     4.5613    198.538 4.8277e+02    -0.0302      3.720    38.1446 0.0000e+00
  56.155694    23.9974     4.5490    198.006 4.3029e+02    -0.0260      3.968    38.1448 0.0000e+00
  56.152424    23.9935     4.5458    197.863 4.9084e+02    -0.0301      4.216    38.1455 0.0000e+00
  56.150545    23.9908     4.5516    198.115 2.7306e+02    -0.0359      4.464    38.1464 0.0000e+00
  56.148835    23.9887     4.5588    198.430 5.6141e+02    -0.0285      4.712    38.1468 0.0000e+00
  56.147265    23.9869     4.5636    198.641 3.0827e+02    -0.0223      4.960    38.1470 0.0000e+00
  56.145514    23.9854     4.5684    198.848 3.7170e+02    -0.0111      5.208    38.1469 0.0000e+00
  56.143508    23.9839     4.5652    198.707 3.7297e+02    -0.0307      5.456    38.1466 0.0000e+00
  56.141453    23.9822     4.5605    198.504 3.4664e+02    -0.0315      5.704    38.1463 0.0000e+00
  56.140018    23.9807     4.5539    198.220 7.0446e+02    -0.0160      5.952    38.1464 0.0000e+00
  56.139341    23.9794     4.5435    197.765 4.0164e+02    -0.0141      6.201    38.1469 0.0000e+00
  56.139022    23.9785     4.5419    197.692 4.1489e+02    -0.0256      6.448    38.1474 0.0000e+00
  56.138756    23.9778     4.5423    197.710 4.2709e+02    -0.0202      6.697    38.1477 0.0000e+00
  56.138254    23.9773     4.5459    197.867 3.5653e+02    -0.0158      6.945    38.1476 0.0000e+00
  56.137592    23.9768     4.5540    198.221 2.7996e+02    -0.0127      7.192    38.1474 0.0000e+00
  56.137152    23.9763     4.5570    198.352 2.6707e+02     0.0043      7.440    38.1474 0.0000e+00
  56.136929    23.9759     4.5537    198.210 2.7953e+02    -0.0066      7.689    38.1475 0.0000e+00
  56.136714    23.9755     4.5536    198.201 3.9914e+02    -0.0105      7.936    38.1477 0.0000e+00
  56.136523    23.9752     4.5548    198.256 3.3156e+02     0.0072      8.184    38.1477 0.0000e+00
  56.136415    23.9747     4.5511    198.093 2.7332e+02     0.0001      8.432    38.1480 0.0000e+00
  56.136590    23.9745     4.5482    197.969 4.1385e+02    -0.0201      8.681    38.1482 0.0000e+00
  56.137068    23.9743     4.5477    197.947 2.4075e+02    -0.0020      8.929    38.1486 0.0000e+00
  56.137462    23.9745     4.5396    197.595 2.9855e+02    -0.0026      9.176    38.1486 0.0000e+00
  56.137667    23.9747     4.5325    197.286 3.8384e+02    -0.0028      9.424    38.1485 0.0000e+00
  56.137666    23.9748     4.5362    197.447 2.5988e+02    -0.0102      9.672    38.1484 0.0000e+00
  56.137603    23.9747     4.5470    197.913 2.6342e+02     0.0010      9.921    38.1483 0.0000e+00
  56.137532    23.9746     4.5539    198.215 5.0461e+02     0.0006     10.168    38.1483 0.0000e+00
  56.137444    23.9744     4.5606    198.508 3.1388e+02    -0.0038     10.416    38.1483 0.0000e+00
  56.137434    23.9742     4.5645    198.678 2.5907e+02     0.0022     10.665    38.1484 0.0000e+00
  56.137481    23.9740     4.5610    198.525 2.6737e+02     0.0085     10.913    38.1485 0.0000e+00
  56.137595    23.9739     4.5515    198.111 2.1096e+02     0.0062     11.160    38.1486 0.0000e+00
  56.137707    23.9738     4.5565    198.328 2.5887e+02     0.0110     11.408    38.1486 0.0000e+00
  56.137758    23.9738     4.5569    198.349 2.6837e+02     0.0088     11.656    38.1486 0.0000e+00
  56.137818    23.9737     4.5510    198.092 3.0139e+02     0.0165     11.904    38.1486 0.0000e+00
  56.137911    23.9736     4.5491    198.007 2.3617e+02     0.0187     12.153    38.1487 0.0000e+00
  56.138006    23.9735     4.5468    197.906 2.4620e+02    -0.0009     12.400    38.1488 0.0000e+00
  56.137987    23.9734     4.5533    198.190 2.5657e+02     0.0135     12.648    38.1487 0.0000e+00
  56.137822    23.9732     4.5529    198.172 2.8511e+02     0.0068     12.897    38.1487 0.0000e+00
  56.137665    23.9729     4.5473    197.930 2.3180e+02     0.0102     13.145    38.1487 0.0000e+00
  56.137515    23.9726     4.5430    197.741 2.2798e+02     0.0110     13.393    38.1488 0.0000e+00
  56.137513    23.9723     4.5420    197.699 2.3815e+02     0.0239     13.640    38.1490 0.0000e+00
  56.137600    23.9721     4.5496    198.027 2.4777e+02    -0.0006     13.888    38.1491 0.0000e+00
  56.137573    23.9720     4.5581    198.400 2.2339e+02     0.0228     14.136    38.1491 0.0000e+00
  56.137572    23.9720     4.5607    198.511 2.4812e+02     0.0083     14.385    38.1491 0.0000e+00
  56.137654    23.9719     4.5618    198.561 2.2855e+02     0.0306     14.633    38.1491 0.0000e+00
  56.137785    23.9718     4.5584    198.410 2.0489e+02     0.0178     14.880    38.1492 0.0000e+00
  56.137913    23.9717     4.5545    198.242 2.2112e+02     0.0182     15.128    38.1493 0.0000e+00
  56.138048    23.9717     4.5562    198.315 1.7173e+02     0.0195     15.376    38.1493 0.0000e+00
  56.138162    23.9716     4.5561    198.311 2.6695e+02     0.0200     15.625    38.1494 0.0000e+00
  56.138285    23.9716     4.5529    198.171 2.1611e+02     0.0323     15.872    38.1494 0.0000e+00
  56.138563    23.9717     4.5458    197.863 1.8077e+02     0.0258     16.120    38.1494 0.0000e+00
  56.138958    23.9717     4.5461    197.878 2.0217e+02     0.0233     16.368    38.1497 0.0000e+00
  56.139257    23.9718     4.5570    198.350 2.4345e+02     0.0198     16.617    38.1497 0.0000e+00
  56.139527    23.9719     4.5590    198.438 2.0285e+02     0.0190     16.865    38.1497 0.0000e+00
  56.139684    23.9718     4.5526    198.158 1.7311e+02     0.0246     17.113    38.1498 0.0000e+00
  56.139660    23.9718     4.5493    198.015 2.0727e+02     0.0391     17.361    38.1498 0.0000e+00
  56.139453    23.9716     4.5428    197.729 1.9791e+02     0.0363     17.608    38.1496 0.0000e+00
  56.139095    23.9714     4.5461    197.876 1.8355e+02     0.0433     17.857    38.1495 0.0000e+00
  56.138691    23.9711     4.5485    197.981 1.7550e+02     0.0491     18.104    38.1493 0.0000e+00
  56.138181    23.9706     4.5501    198.050 1.7323e+02     0.0386     18.352    38.1493 0.0000e+00
  56.137668    23.9701     4.5477    197.946 1.7498e+02     0.0500     18.601    38.1493 0.0000e+00
  56.137298    23.9695     4.5457    197.859 1.7935e+02     0.0530     18.849    38.1494 0.0000e+00
  56.137135    23.9690     4.5434    197.758 1.6456e+02     0.0464     19.097    38.1495 0.0000e+00
  56.137110    23.9688     4.5507    198.073 1.8153e+02     0.0471     19.345    38.1497 0.0000e+00
  56.137094    23.9686     4.5513    198.103 1.5743e+02     0.0566     19.592    38.1497 0.0000e+00
  56.137071    23.9684     4.5515    198.109 1.6218e+02     0.0488     19.840    38.1498 0.0000e+00
  56.136894    23.9683     4.5498    198.035 1.7838e+02     0.0467     20.089    38.1497 0.0000e+00
  56.136563    23.9680     4.5493    198.016 1.5959e+02     0.0539     20.336    38.1496 0.0000e+00
  56.136004    23.9674     4.5494    198.021 1.7208e+02     0.0476     20.585    38.1496 0.0000e+00
  56.135443    23.9668     4.5418    197.691 1.6350e+02     0.0530     20.832    38.1496 0.0000e+00
  56.134668    23.9662     4.5393    197.580 1.4906e+02     0.0585     21.080    38.1494 0.0000e+00
  56.133793    23.9656     4.5421    197.701 1.5567e+02     0.0498     21.329    38.1491 0.0000e+00
  56.133407    23.9650     4.5474    197.933 1.6276e+02     0.0551     21.577    38.1493 0.0000e+00
  56.133308    23.9645     4.5515    198.111 1.4815e+02     0.0605     21.825    38.1495 0.0000e+00
  56.133307    23.9642     4.5591    198.444 1.5378e+02     0.0591     22.072    38.1497 0.0000e+00
  56.133490    23.9640     4.5544    198.235 1.4903e+02     0.0572     22.320    38.1499 0.0000e+00
  56.133732    23.9640     4.5557    198.294 1.5124e+02     0.0641     22.568    38.1500 0.0000e+00
  56.134066    23.9641     4.5511    198.096 1.4460e+02     0.0662     22.816    38.1501 0.0000e+00
  56.134591    23.9641     4.5356    197.420 1.3647e+02     0.0741     23.065    38.1504 0.0000e+00
  56.135041    23.9643     4.5246    196.938 1.5885e+02     0.0605     23.312    38.1506 0.0000e+00
  56.135249    23.9643     4.5399    197.605 1.4436e+02     0.0634     23.560    38.1506 0.0000e+00
  56.135525    23.9643     4.5470    197.917 1.3510e+02     0.0721     23.809    38.1507 0.0000e+00
  56.135565    23.9643     4.5511    198.095 1.4300e+02     0.0672     24.056    38.1507 0.0000e+00
  56.135864    23.9642     4.5431    197.745 1.3551e+02     0.0729     24.304    38.1509 0.0000e+00
  56.136336    23.9642     4.5406    197.636 1.3508e+02     0.0648     24.552    38.1511 0.0000e+00
  56.136612    23.9644     4.5452    197.835 1.3298e+02     0.0715     24.800    38.1512 0.0000e+00
  56.136660    23.9644     4.5437    197.771 1.3204e+02     0.0746     25.048    38.1511 0.0000e+00
  56.136849    23.9644     4.5451    197.830 1.3076e+02     0.0752     25.296    38.1511 0.0000e+00
  56.137787    23.9644     4.5340    197.348 1.3311e+02     0.0894     25.544    38.1518 0.0000e+00
  56.140080    23.9646     4.5315    197.241 1.2542e+02     0.0820     25.792    38.1532 0.0000e+00
  56.145018    23.9655     4.5369    197.475 1.3212e+02     0.0786     26.040    38.1561 0.0000e+00
  56.156727    23.9682     4.5463    197.882 1.2323e+02     0.0773     26.288    38.1628 0.0000e+00
  56.165248    23.9726     4.5501    198.055 1.2493e+02     0.0770     26.536    38.1655 0.0000e+00
  56.161788    23.9739     4.5576    198.392 1.2710e+02     0.0815     26.784    38.1616 0.0000e+00
  56.142142    23.9683     4.5601    198.505 1.2671e+02     0.0852     27.032    38.1513 0.0000e+00
  56.086894    23.9497     4.5444    197.800 1.0741e+02     0.0775     27.280    38.1247 0.0000e+00
  55.963798    23.9019     4.5601    198.457 1.0913e+02     0.0927     27.528    38.0711 0.0000e+00
  55.769556    23.8032     4.6118    200.715 1.2065e+02     0.0706     27.776    38.0063 0.0000e+00
  55.537542    23.6447     4.6834    203.823 1.1353e+02     0.0597     28.024    37.9635 0.0000e+00
  55.349742    23.4531     4.7526    206.819 1.0416e+02     0.0748     28.272    37.9830 0.0000e+00
  55.196951    23.3010     4.7987    208.827 1.1196e+02     0.0819     28.520    37.9956 0.0000e+00
  55.053172    23.1790     4.8182    209.668 1.0583e+02     0.1172     28.768    37.9890 0.0000e+00
  54.958743    23.0735     4.8083    209.237 1.0270e+02     0.1244     29.016    38.0067 0.0000e+00
  54.890029    22.9930     4.7991    208.839 1.0443e+02     0.1522     29.264    38.0227 0.0000e+00
  54.819475    22.9295     4.8048    209.077 1.0432e+02     0.1567     29.512    38.0226 0.0000e+00
  54.753497    22.8697     4.8075    209.190 1.0293e+02     0.1538     29.760    38.0228 0.0000e+00
  54.675732    22.8131     4.8126    209.427 1.0261e+02     0.1744     30.008    38.0110 0.0000e+00
  54.600476    22.7516     4.8307    210.220 9.5553e+01     0.1829     30.256    38.0053 0.0000e+00
  54.533100    22.6920     4.8407    210.633 9.5859e+01     0.1837     30.504    38.0042 0.0000e+00
  54.438206    22.6332     4.8477    210.918 1.0176e+02     0.2014     30.752    37.9807 0.0000e+00
  54.271910    22.5505     4.8652    211.673 1.0326e+02     0.2074     31.000    37.9216 0.0000e+00
  54.068245    22.4153     4.8864    212.607 1.0085e+02     0.1975     31.247    37.8786 0.0000e+00
  53.912717    22.2516     4.9084    213.559 9.5690e+01     0.2248     31.495    37.8983 0.0000e+00
  53.807029    22.1181     4.9141    213.799 9.2803e+01     0.2289     31.743    37.9311 0.0000e+00
  53.695131    22.0223     4.9264    214.326 1.0064e+02     0.2273     31.991    37.9261 0.0000e+00
  53.537637    21.9237     4.9384    214.824 9.5069e+01     0.3147     32.239    37.8869 0.0000e+00
  53.364807    21.7942     4.9630    215.888 8.8596e+01     0.2605     32.487    37.8626 0.0000e+00
  53.182730    21.6421     4.9989    217.455 8.7795e+01     0.2656     32.735    37.8504 0.0000e+00
  53.000087    21.4722     5.0383    219.182 9.0540e+01     0.2658     32.984    37.8533 0.0000e+00
  52.845053    21.3164     5.0432    219.362 8.9919e+01     0.2778     33.232    37.8660 0.0000e+00
  52.671366    21.1802     5.0464    219.467 9.1752e+01     0.2760     33.480    37.8460 0.0000e+00
  52.433724    21.0328     5.0657    220.294 9.0945e+01     0.2948     33.728    37.7839 0.0000e+00
  52.172077    20.8382     5.1068    222.084 8.7165e+01     0.3065     33.976    37.7436 0.0000e+00
  51.970054    20.6166     5.1536    224.119 8.1015e+01     0.3025     34.224    37.7759 0.0000e+00
  51.842896    20.4253     5.1885    225.647 7.8112e+01     0.3026     34.472    37.8425 0.0000e+00
  51.748955    20.2963     5.1902    225.698 8.4735e+01     0.3092     34.719    37.8808 0.0000e+00
  51.642611    20.2065     5.2066    226.398 8.7404e+01     0.3192     34.967    37.8737 0.0000e+00
  51.510308    20.1194     5.2505    228.301 8.2396e+01     0.3241     35.215    37.8426 0.0000e+00
  51.378545    20.0191     5.2970    230.318 7.4776e+01     0.3486     35.463    37.8237 0.0000e+00
  51.291321    19.9171     5.3358    232.003 7.2878e+01     0.3314     35.711    37.8431 0.0000e+00
  51.228858    19.8306     5.3511    232.670 7.6047e+01     0.3261     35.960    37.8693 0.0000e+00
  51.185653    19.7624     5.3518    232.719 7.7129e+01     0.3253     36.207    37.8949 0.0000e+00
  51.154599    19.7150     5.3574    232.955 7.5363e+01     0.3555     36.455    37.9119 0.0000e+00
  51.115844    19.6839     5.3560    232.889 7.0197e+01     0.2910     36.703    37.9077 0.0000e+00
  51.042575    19.6492     5.3469    232.475 6.9523e+01     0.2938     36.951    37.8778 0.0000e+00
  50.923036    19.5896     5.3271    231.602 6.9108e+01     0.2848     37.199    37.8318 0.0000e+00
  50.792250    19.4958     5.3093    230.822 6.9254e+01     0.2752     37.447    37.8073 0.0000e+00
  50.657234    19.3806     5.2951    230.207 6.8785e+01     0.2829     37.695    37.7985 0.0000e+00
  50.522272    19.2466     5.2971    230.294 6.7126e+01     0.2871     37.943    37.8069 0.0000e+00
  50.405688    19.1150     5.3143    231.049 6.6133e+01     0.2998     38.191    37.8283 0.0000e+00
