    C0mS/cm     Tv290C Sbeox0ML/L Sbox0Mm/Kg        Par    WetStar      DepSM      Sal00       Flag
  55.921520    23.9744     4.5204    196.781 1.8827e+03     0.1071      0.496    37.9861 0.0000e+00
  55.924772    23.9771     4.5139    196.499 7.9061e+02     0.0941      0.744    37.9862 0.0000e+00
  55.922350    23.9777     4.5094    196.305 4.0586e+02     0.0844      0.992    37.9837 0.0000e+00
  55.910658    23.9722     4.5382    197.557 4.6743e+02     0.0862      1.240    37.9793 0.0000e+00
  55.888027    23.9595     4.5350    197.418 5.0766e+02     0.0987      1.488    37.9728 0.0000e+00
  55.851451    23.9354     4.5411    197.682 4.5435e+02     0.0993      1.736    37.9653 0.0000e+00
  55.824662    23.9095     4.5444    197.824 5.6749e+02     0.1032      1.984    37.9668 0.0000e+00
  55.804259    23.8923     4.5421    197.721 4.4582e+02     0.0817      2.232    37.9658 0.0000e+00
  55.787950    23.8774     4.5422    197.724 4.2775e+02     0.0850      2.480    37.9659 0.0000e+00
  55.778762    23.8660     4.5392    197.595 4.2425e+02     0.0831      2.729    37.9684 0.0000e+00
  55.778567    23.8604     4.5396    197.610 4.1971e+02     0.0788      2.976    37.9730 0.0000e+00
  55.776331    23.8582     4.5415    197.693 4.0926e+02     0.0707      3.224    37.9731 0.0000e+00
  55.772124    23.8548     4.5395    197.610 4.3342e+02     0.0780      3.472    37.9727 0.0000e+00
  55.768276    23.8510     4.5398    197.620 3.7168e+02     0.0686      3.720    37.9729 0.0000e+00
  55.765240    23.8475     4.5389    197.582 3.3814e+02     0.0726      3.968    37.9734 0.0000e+00
  55.764743    23.8452     4.5325    197.302 4.4577e+02     0.0824      4.217    37.9750 0.0000e+00
  55.765132    23.8445     4.5232    196.895 3.6580e+02     0.0821      4.464    37.9758 0.0000e+00
  55.766586    23.8442     4.5172    196.637 4.3269e+02     0.0780      4.712    37.9770 0.0000e+00
  55.768807    23.8446     4.5322    197.286 3.0510e+02     0.0984      4.960    37.9784 0.0000e+00
  55.771057    23.8453     4.5467    197.922 3.8131e+02     0.0990      5.208    37.9794 0.0000e+00
  55.772726    23.8461     4.5564    198.342 3.3452e+02     0.1033      5.456    37.9799 0.0000e+00
  55.772782    23.8465     4.5515    198.131 2.8507e+02     0.1066      5.704    37.9795 0.0000e+00
