       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.210  44.630197    -0.0341    13.3841     5.1533      1.200    28.7450    38.1364 0.0000e+00
      1.310  44.630138     0.0112    13.3841     5.1532      1.300    28.7450    38.1364 0.0000e+00
      1.411  44.630191    -0.0095    13.3842     5.1510      1.400    28.7449    38.1362 0.0000e+00
      1.512  44.630301    -0.0250    13.3843     5.1573      1.500    28.7448    38.1362 0.0000e+00
      1.613  44.630388     0.0006    13.3843     5.1511      1.600    28.7449    38.1362 0.0000e+00
      1.713  44.630424     0.0375    13.3843     5.1594      1.700    28.7449    38.1362 0.0000e+00
      1.815  44.630480    -0.0115    13.3843     5.1510      1.800    28.7449    38.1363 0.0000e+00
      1.915  44.630578    -0.0097    13.3844     5.1515      1.900    28.7448    38.1362 0.0000e+00
      2.016  44.630698    -0.0084    13.3844     5.1532      2.000    28.7449    38.1363 0.0000e+00
      2.117  44.630842    -0.0129    13.3845     5.1496      2.100    28.7449    38.1362 0.0000e+00
      2.217  44.630972    -0.0157    13.3846     5.1490      2.200    28.7448    38.1362 0.0000e+00
      2.319  44.631094    -0.0240    13.3847     5.1449      2.300    28.7448    38.1362 0.0000e+00
      2.419  44.631186    -0.0118    13.3847     5.1430      2.400    28.7448    38.1362 0.0000e+00
      2.520  44.631258    -0.0060    13.3848     5.1401      2.500    28.7447    38.1362 0.0000e+00
      2.621  44.631322    -0.0071    13.3848     5.1358      2.600    28.7448    38.1362 0.0000e+00
      2.722  44.631382    -0.0027    13.3847     5.1350      2.700    28.7449    38.1363 0.0000e+00
      2.822  44.631444    -0.0170    13.3847     5.1363      2.800    28.7449    38.1363 0.0000e+00
      2.923  44.631523    -0.0095    13.3847     5.1402      2.900    28.7449    38.1363 0.0000e+00
      3.024  44.631602    -0.0233    13.3847     5.1435      3.000    28.7449    38.1364 0.0000e+00
      3.125  44.631651    -0.0003    13.3847     5.1480      3.100    28.7449    38.1364 0.0000e+00
      3.226  44.631658    -0.0004    13.3847     5.1503      3.200    28.7449    38.1363 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      3.300 -9.990e-29 -9.990e-29 -9.990e-29
      3.381  44.631611    -0.0071    13.3846     5.1493      3.400    28.7449    38.1363 0.0000e+00
      3.528  44.631532    -0.0099    13.3845     5.1459      3.500    28.7449    38.1363 0.0000e+00
