       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.008  44.630108    -0.0430    13.3840     5.1529      1.000    28.7451    38.1365 0.0000e+00
      1.512  44.630276     0.0002    13.3843     5.1538      1.500    28.7449    38.1362 0.0000e+00
      2.016  44.630720    -0.0119    13.3844     5.1508      2.000    28.7449    38.1362 0.0000e+00
      2.520  44.631249    -0.0104    13.3847     5.1397      2.500    28.7448    38.1362 0.0000e+00
      3.024  44.631570    -0.0100    13.3847     5.1441      3.000    28.7449    38.1363 0.0000e+00
      3.528  44.631491    -0.0159    13.3844     5.1446      3.500    28.7449    38.1363 0.0000e+00
      4.032  44.631217    -0.0052    13.3839     5.1403      4.000    28.7451    38.1363 0.0000e+00
      4.536  44.631038    -0.0045    13.3836     5.1470      4.500    28.7451    38.1363 0.0000e+00
      5.040  44.630254    -0.0013    13.3829     5.1466      5.000    28.7450    38.1360 0.0000e+00
      5.544  44.629897     0.0008    13.3825     5.1423      5.500    28.7450    38.1358 0.0000e+00
      6.048  44.630324     0.0022    13.3827     5.1419      6.000    28.7450    38.1358 0.0000e+00
      6.552  44.630621     0.0242    13.3828     5.1542      6.500    28.7450    38.1357 0.0000e+00
      7.056  44.628852     0.0182    13.3813     5.1553      7.000    28.7449    38.1353 0.0000e+00
      7.560  44.625290     0.0381    13.3779     5.1536      7.500    28.7455    38.1351 0.0000e+00
      8.064  44.615320     0.0304    13.3700     5.1538      8.000    28.7457    38.1331 0.0000e+00
      8.568  44.612324     0.0322    13.3667     5.1511      8.500    28.7466    38.1334 0.0000e+00
      9.072  44.608994     0.0759    13.3637     5.1595      9.000    28.7469    38.1330 0.0000e+00
      9.576  44.606235     0.0841    13.3611     5.1629      9.500    28.7473    38.1327 0.0000e+00
     10.080  44.604720     0.1123    13.3595     5.1558     10.000    28.7476    38.1327 0.0000e+00
     10.584  44.603048     0.1195    13.3579     5.1593     10.500    28.7478    38.1325 0.0000e+00
     11.088  44.600648     0.1226    13.3556     5.1585     11.000    28.7481    38.1322 0.0000e+00
     11.592  44.599827     0.1607    13.3544     5.1578     11.500    28.7485    38.1324 0.0000e+00
     12.096  44.599701     0.1753    13.3540     5.1711     12.000    28.7486    38.1324 0.0000e+00
     12.600  44.599231     0.1948    13.3534     5.1697     12.500    28.7487    38.1324 0.0000e+00
     13.104  44.600895     0.2021    13.3546     5.1614     13.000    28.7486    38.1326 0.0000e+00
     13.609  44.604075     0.2095    13.3568     5.1643     13.500    28.7486    38.1332 0.0000e+00
     14.112  44.604920     0.2220    13.3577     5.1554     14.000    28.7482    38.1329 0.0000e+00
     14.617  44.611451     0.2458    13.3624     5.1484     14.500    28.7482    38.1341 0.0000e+00
     15.121  44.619453     0.2447    13.3686     5.1535     15.000    28.7479    38.1354 0.0000e+00
     15.625  44.620673     0.2798    13.3696     5.1544     15.500    28.7477    38.1353 0.0000e+00
     16.129  44.609667     0.2642    13.3610     5.1592     16.000    28.7478    38.1331 0.0000e+00
     16.633  44.600610     0.2503    13.3536     5.1668     16.500    28.7482    38.1316 0.0000e+00
     17.137  44.595623     0.2678    13.3494     5.1587     17.000    28.7485    38.1309 0.0000e+00
     17.640  44.594200     0.2964    13.3479     5.1664     17.500    28.7488    38.1308 0.0000e+00
     18.144  44.595148     0.3286    13.3482     5.1739     18.000    28.7490    38.1311 0.0000e+00
     18.649  44.596977     0.3555    13.3494     5.1724     18.500    28.7490    38.1314 0.0000e+00
     19.153  44.598173     0.3586    13.3501     5.1728     19.000    28.7491    38.1317 0.0000e+00
     19.657  44.598219     0.3602    13.3499     5.1753     19.500    28.7491    38.1317 0.0000e+00
     20.161  44.596184     0.3357    13.3482     5.1765     20.000    28.7491    38.1312 0.0000e+00
     20.665  44.596224     0.3503    13.3480     5.1676     20.500    28.7492    38.1313 0.0000e+00
     21.169  44.598176     0.3518    13.3492     5.1721     21.000    28.7493    38.1317 0.0000e+00
     21.673  44.597941     0.3710    13.3490     5.1742     21.500    28.7492    38.1314 0.0000e+00
     22.177  44.599210     0.3866    13.3499     5.1649     22.000    28.7490    38.1314 0.0000e+00
     22.681  44.600891     0.3731    13.3508     5.1575     22.500    28.7492    38.1320 0.0000e+00
     23.185  44.599468     0.3568    13.3496     5.1640     23.000    28.7492    38.1316 0.0000e+00
     23.690  44.600754     0.3569    13.3503     5.1741     23.500    28.7493    38.1319 0.0000e+00
     24.193  44.603797     0.3665    13.3525     5.1710     24.000    28.7492    38.1323 0.0000e+00
     24.697  44.605752     0.3643    13.3541     5.1672     24.500    28.7489    38.1323 0.0000e+00
     25.201  44.609135     0.3673    13.3566     5.1654     25.000    28.7488    38.1329 0.0000e+00
     25.706  44.605632     0.3373    13.3538     5.1710     25.500    28.7488    38.1322 0.0000e+00
     26.210  44.598106     0.3330    13.3479     5.1690     26.000    28.7489    38.1306 0.0000e+00
     26.714  44.596042     0.3807    13.3456     5.1699     26.500    28.7494    38.1306 0.0000e+00
     27.218  44.595806     0.3585    13.3451     5.1639     27.000    28.7496    38.1306 0.0000e+00
     27.722  44.597867     0.3741    13.3464     5.1741     27.500    28.7497    38.1312 0.0000e+00
     28.226  44.600020     0.3835    13.3478     5.1702     28.000    28.7497    38.1316 0.0000e+00
     28.730  44.600540     0.3818    13.3482     5.1687     28.500    28.7496    38.1315 0.0000e+00
     29.234  44.602557     0.3712    13.3495     5.1699     29.000    28.7496    38.1318 0.0000e+00
     29.738  44.606194     0.3525    13.3523     5.1695     29.500    28.7494    38.1323 0.0000e+00
     30.242  44.609593     0.3626    13.3549     5.1603     30.000    28.7492    38.1327 0.0000e+00
     30.746  44.608907     0.3334    13.3545     5.1671     30.500    28.7489    38.1322 0.0000e+00
     31.250  44.611337     0.3264    13.3561     5.1679     31.000    28.7490    38.1327 0.0000e+00
     31.754  44.613474     0.3235    13.3576     5.1646     31.500    28.7489    38.1330 0.0000e+00
     32.259  44.614300     0.3064    13.3582     5.1594     32.000    28.7488    38.1330 0.0000e+00
     32.763  44.613529     0.3382    13.3575     5.1551     32.500    28.7488    38.1328 0.0000e+00
     33.267  44.613391     0.3129    13.3571     5.1586     33.000    28.7489    38.1327 0.0000e+00
     33.771  44.615748     0.3054    13.3587     5.1623     33.500    28.7489    38.1332 0.0000e+00
     34.275  44.617300     0.3105    13.3599     5.1622     34.000    28.7487    38.1333 0.0000e+00
     34.779  44.621158     0.3065    13.3630     5.1494     34.500    28.7483    38.1336 0.0000e+00
     35.283  44.629363     0.2969    13.3694     5.1385     35.000    28.7479    38.1348 0.0000e+00
     35.787  44.631387     0.3096    13.3718     5.1456     35.500    28.7469    38.1341 0.0000e+00
     36.291  44.631222     0.2775    13.3717     5.1495     36.000    28.7467    38.1338 0.0000e+00
     36.795  44.631858     0.2548    13.3718     5.1452     36.500    28.7469    38.1341 0.0000e+00
