       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.628  44.361199     0.2739    13.1775     5.1168      1.615    28.7488    38.0854 -9.990e-29
      1.567  44.360088     0.2827    13.1772     5.1229      1.555    28.7483    38.0846 -9.990e-29
      1.520  44.358925     0.2850    13.1768     5.1332      1.508    28.7478    38.0839 -9.990e-29
      1.488  44.358230     0.2783    13.1763     5.1420      1.476    28.7478    38.0838 -9.990e-29
      1.465  44.357772     0.2496    13.1759     5.1490      1.453    28.7479    38.0838 -9.990e-29
      1.446  44.357132     0.2894    13.1755     5.1520      1.435    28.7478    38.0835 -9.990e-29
      1.427  44.356499     0.2584    13.1751     5.1588      1.416    28.7477    38.0833 -9.990e-29
      1.405  44.355848     0.2838    13.1748     5.1641      1.394    28.7475    38.0830 -9.990e-29
      1.380  44.354653     0.2728    13.1746     5.1640      1.369    28.7468    38.0821 -9.990e-29
      1.354  44.352680     0.2993    13.1744     5.1613      1.343    28.7456    38.0804 -9.990e-29
      1.333  44.351015     0.3038    13.1744     5.1544      1.322    28.7443    38.0788 -9.990e-29
      1.318  44.351158     0.3015    13.1745     5.1494      1.308    28.7443    38.0789 -9.990e-29
      1.312  44.352645     0.2993    13.1747     5.1412      1.302    28.7453    38.0801 -9.990e-29
      1.312  44.353884     0.2750    13.1751     5.1386      1.302    28.7458    38.0809 -9.990e-29
      1.314  44.354048     0.2894    13.1755     5.1343      1.304    28.7455    38.0806 -9.990e-29
      1.314  44.352756     0.2850    13.1759     5.1368      1.304    28.7442    38.0790 -9.990e-29
      1.310  44.350239     0.3159    13.1762     5.1486      1.300    28.7420    38.0763 -9.990e-29
      1.300  44.348287     0.2971    13.1764     5.1559      1.290    28.7403    38.0742 -9.990e-29
      1.284  44.348815     0.2805    13.1766     5.1699      1.274    28.7405    38.0745 -9.990e-29
      1.267  44.350951     0.2805    13.1767     5.1797      1.257    28.7420    38.0765 -9.990e-29
      1.252  44.352944     0.3015    13.1768     5.1949      1.242    28.7434    38.0783 -9.990e-29
      1.244  44.354733     0.2805    13.1769     5.2018      1.234    28.7447    38.0799 -9.990e-29
      1.246  44.356124     0.2827    13.1770     5.2070      1.236    28.7456    38.0812 -9.990e-29
      1.259  44.356913     0.2783    13.1771     5.2083      1.249    28.7461    38.0818 -9.990e-29
      1.280  44.357306     0.2905    13.1771     5.2040      1.270    28.7464    38.0822 -9.990e-29
      1.305  44.357159     0.3049    13.1769     5.2020      1.295    28.7465    38.0822 -9.990e-29
      1.326  44.356963     0.2816    13.1766     5.1966      1.315    28.7466    38.0823 -9.990e-29
      1.339  44.357248     0.3093    13.1763     5.2011      1.328    28.7471    38.0829 -9.990e-29
      1.340  44.357641     0.2695    13.1759     5.2056      1.329    28.7478    38.0837 -9.990e-29
      1.329  44.357988     0.2684    13.1756     5.2193      1.318    28.7484    38.0843 -9.990e-29
      1.307  44.358348     0.2850    13.1755     5.2272      1.297    28.7487    38.0848 -9.990e-29
      1.280  44.358667     0.2562    13.1754     5.2285      1.270    28.7491    38.0852 -9.990e-29
      1.255  44.358954     0.3281    13.1753     5.2291      1.245    28.7494    38.0856 -9.990e-29
      1.237  44.359154     0.2971    13.1753     5.2260      1.227    28.7496    38.0858 -9.990e-29
      1.233  44.359224     0.2905    13.1752     5.2170      1.223    28.7497    38.0860 -9.990e-29
      1.244  44.359182     0.2728    13.1752     5.2070      1.234    28.7497    38.0859 -9.990e-29
      1.266  44.359116     0.2661    13.1751     5.1961      1.256    28.7497    38.0859 -9.990e-29
      1.294  44.359080     0.2971    13.1750     5.1899      1.284    28.7498    38.0860 -9.990e-29
      1.320  44.359006     0.2894    13.1749     5.1821      1.310    28.7498    38.0860 -9.990e-29
      1.336  44.358874     0.3038    13.1749     5.1824      1.325    28.7497    38.0859 -9.990e-29
      1.338  44.358730     0.2905    13.1748     5.1837      1.327    28.7497    38.0858 -9.990e-29
      1.323  44.358661     0.2673    13.1748     5.1847      1.312    28.7497    38.0858 -9.990e-29
      1.291  44.358712     0.3126    13.1749     5.1850      1.281    28.7496    38.0857 -9.990e-29
      1.247  44.358859     0.2584    13.1750     5.1789      1.237    28.7496    38.0858 -9.990e-29
      1.197  44.359067     0.2805    13.1752     5.1685      1.187    28.7496    38.0858 -9.990e-29
      1.150  44.359318     0.2772    13.1754     5.1567      1.141    28.7496    38.0859 -9.990e-29
      1.111  44.359665     0.2772    13.1758     5.1402      1.102    28.7495    38.0858 -9.990e-29
      1.084  44.360143     0.2728    13.1762     5.1236      1.075    28.7495    38.0859 -9.990e-29
      1.067  44.360755     0.2783    13.1767     5.1041      1.059    28.7494    38.0860 -9.990e-29
      1.056  44.361422     0.2938    13.1771     5.0815      1.048    28.7495    38.0862 -9.990e-29
      1.043  44.361975     0.2684    13.1775     5.0589      1.035    28.7496    38.0864 -9.990e-29
      1.024  44.362281     0.2772    13.1778     5.0306      1.016    28.7495    38.0864 -9.990e-29
      0.993  44.362360     0.2728    13.1780     5.0030      0.985    28.7494    38.0863 -9.990e-29
      0.949  44.362253     0.2816    13.1781     4.9735      0.941    28.7492    38.0861 -9.990e-29
      0.895  44.361982     0.2717    13.1782     4.9425      0.888    28.7489    38.0858 -9.990e-29
      0.832  44.361585     0.2816    13.1782     4.9016      0.825    28.7486    38.0854 -9.990e-29
      0.764  44.361090     0.2938    13.1781     4.8645      0.758    28.7484    38.0851 -9.990e-29
      0.698  44.360652     0.2772    13.1781     4.8273      0.692    28.7481    38.0847 -9.990e-29
      0.638  44.360386     0.2772    13.1780     4.7889      0.633    28.7480    38.0845 -9.990e-29
      0.592  44.360116     0.2805    13.1779     4.7487      0.587    28.7479    38.0844 -9.990e-29
      0.566  44.359923     0.2916    13.1778     4.7256      0.562    28.7479    38.0843 -9.990e-29
      0.564  44.360032     0.2805    13.1778     4.6980      0.560    28.7480    38.0844 -9.990e-29
      0.583  44.360122     0.3215    13.1779     4.6765      0.578    28.7479    38.0844 -9.990e-29
      0.615  44.359968     0.0206    13.1779     4.6543      0.610    28.7478    38.0842 -9.990e-29
      0.653  44.359888     0.2916    13.1780     4.6303      0.648    28.7476    38.0841 -9.990e-29
      0.691  44.359974     0.2728    13.1780     4.6224      0.686    28.7477    38.0841 -9.990e-29
      0.726  44.360011     0.2894    13.1781     4.6149      0.720    28.7476    38.0840 -9.990e-29
      0.756  44.359915    -0.0005    13.1781     4.6103      0.750    28.7475    38.0839 -9.990e-29
      0.785  44.359697     0.2296    13.1782     4.6227      0.779    28.7472    38.0836 -9.990e-29
      0.817  44.359519     0.3015    13.1782     4.6516      0.811    28.7471    38.0834 -9.990e-29
      0.859  44.359437     0.3049    13.1782     4.6862      0.852    28.7470    38.0833 -9.990e-29
      0.915  44.359060     0.3115    13.1783     4.7202      0.908    28.7466    38.0828 -9.990e-29
      0.986  44.358009     0.2960    13.1783     4.7425      0.978    28.7458    38.0818 -9.990e-29
      1.072  44.355968     0.3015    13.1782     4.7529      1.063    28.7444    38.0799 -9.990e-29
      1.169  44.352330     0.2949    13.1781     4.7484      1.160    28.7417    38.0764 -9.990e-29
      1.272  44.346056     0.2496    13.1779     4.7437      1.262    28.7372    38.0705 -9.990e-29
      1.375  44.335508     0.2772    13.1778     4.7322      1.364    28.7294    38.0604 -9.990e-29
      1.473  44.322812     0.2661    13.1777     4.7262      1.461    28.7199    38.0483 -9.990e-29
      1.562  44.315512     0.2706    13.1777     4.7345      1.550    28.7145    38.0412 -9.990e-29
      1.641  44.315554     0.2827    13.1778     4.7470      1.628    28.7144    38.0411 -9.990e-29
      1.713  44.315638     0.2916    13.1779     4.7814      1.699    28.7143    38.0410 -9.990e-29
      1.781  44.308725     0.2971    13.1780     4.8309      1.767    28.7090    38.0342 -9.990e-29
      1.850  44.297278     0.2684    13.1781     4.8866      1.835    28.7004    38.0231 -9.990e-29
      1.925  44.293669     0.2518    13.1782     4.9462      1.910    28.6975    38.0195 -9.990e-29
      2.009  44.303395     0.2971    13.1782     5.0050      1.993    28.7048    38.0288 -9.990e-29
      2.104  44.318561     0.2971    13.1781     5.0531      2.087    28.7162    38.0435 -9.990e-29
      2.210  44.331580     0.2761    13.1779     5.1032      2.192    28.7261    38.0562 -9.990e-29
      2.326  44.340672     0.2639    13.1776     5.1430      2.308    28.7331    38.0652 -9.990e-29
      2.446  44.346896     0.2462    13.1774     5.1766      2.427    28.7379    38.0713 -9.990e-29
      2.564  44.351164     0.2595    13.1772     5.2002      2.544    28.7413    38.0756 -9.990e-29
      2.677  44.353824     0.3082    13.1769     5.2237      2.656    28.7435    38.0784 -9.990e-29
      2.783  44.355404     0.2684    13.1765     5.2551      2.761    28.7451    38.0803 -9.990e-29
      2.881  44.356255     0.2628    13.1761     5.2738      2.858    28.7461    38.0814 -9.990e-29
      2.976  44.356731     0.2827    13.1757     5.2916      2.952    28.7468    38.0823 -9.990e-29
      3.074  44.357239     0.2717    13.1753     5.3042      3.050    28.7475    38.0831 -9.990e-29
      3.179  44.357942     0.2861    13.1749     5.3144      3.154    28.7484    38.0841 -9.990e-29
      3.295  44.358558     0.2473    13.1746     5.3184      3.269    28.7491    38.0850 -9.990e-29
      3.422  44.358902     0.2673    13.1744     5.3225      3.395    28.7495    38.0855 -9.990e-29
      3.555  44.359111     0.2684    13.1742     5.3234      3.527    28.7499    38.0858 -9.990e-29
      3.686  44.359306     0.2661    13.1741     5.3234      3.657    28.7501    38.0860 -9.990e-29
      3.811  44.359473     0.2606    13.1740     5.3267      3.781    28.7502    38.0862 -9.990e-29
      3.925  44.359512     0.3004    13.1739     5.3323      3.894    28.7503    38.0863 -9.990e-29
      4.027  44.359400     0.2805    13.1737     5.3319      3.995    28.7504    38.0864 -9.990e-29
      4.120  44.359246     0.2772    13.1736     5.3360      4.087    28.7504    38.0863 -9.990e-29
      4.208  44.359088     0.2706    13.1734     5.3382      4.175    28.7504    38.0863 -9.990e-29
      4.295  44.358943     0.2717    13.1732     5.3447      4.261    28.7505    38.0863 -9.990e-29
      4.385  44.358814     0.3038    13.1731     5.3429      4.350    28.7504    38.0862 -9.990e-29
      4.479  44.358704     0.2993    13.1730     5.3299      4.443    28.7504    38.0862 -9.990e-29
      4.576  44.358621     0.2883    13.1729     5.3246      4.540    28.7504    38.0862 -9.990e-29
      4.674  44.358495     0.2827    13.1728     5.3223      4.637    28.7504    38.0861 -9.990e-29
      4.771  44.358340     0.2971    13.1727     5.3217      4.733    28.7504    38.0860 -9.990e-29
      4.865  44.358285     0.2805    13.1727     5.3208      4.826    28.7503    38.0859 -9.990e-29
      4.958  44.358377     0.2827    13.1728     5.3231      4.919    28.7502    38.0858 0.0000e+00
      5.053  44.358526     0.3071    13.1729     5.3222      5.013    28.7502    38.0858 0.0000e+00
      5.152  44.358610     0.2684    13.1731     5.3300      5.111    28.7500    38.0857 0.0000e+00
      5.259  44.358743     0.2883    13.1733     5.3333      5.217    28.7499    38.0856 0.0000e+00
      5.374  44.359093     0.2761    13.1734     5.3345      5.331    28.7500    38.0857 0.0000e+00
      5.495  44.359464     0.2993    13.1735     5.3343      5.451    28.7502    38.0859 0.0000e+00
      5.622  44.359639     0.3082    13.1735     5.3367      5.577    28.7503    38.0861 0.0000e+00
      5.749  44.359671     0.3015    13.1735     5.3353      5.703    28.7502    38.0860 0.0000e+00
      5.875  44.359737     0.3137    13.1735     5.3347      5.828    28.7503    38.0860 0.0000e+00
