       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      5.040  44.358673     0.2844    13.1732     5.3293      5.000    28.7500    38.0857 0.0000e+00
      6.048  44.359419     0.2993    13.1731     5.3311      6.000    28.7504    38.0861 0.0000e+00
      7.056  44.359004     0.3161    13.1723     5.3374      7.000    28.7505    38.0860 0.0000e+00
      8.064  44.362901     0.3499    13.1750     5.3289      8.000    28.7504    38.0866 0.0000e+00
      9.072  44.361213     0.3341    13.1734     5.3256      9.000    28.7504    38.0861 0.0000e+00
     10.080  44.357389     0.3530    13.1695     5.3268     10.000    28.7510    38.0858 0.0000e+00
     11.088  44.353427     0.4286    13.1660     5.3232     11.000    28.7512    38.0851 0.0000e+00
     12.096  44.350430     0.4868    13.1633     5.3355     12.000    28.7513    38.0845 0.0000e+00
     13.104  44.351869     0.5579    13.1640     5.3314     13.000    28.7514    38.0847 0.0000e+00
     14.112  44.352697     0.6163    13.1641     5.3290     14.000    28.7515    38.0849 0.0000e+00
     15.120  44.355758     0.6770    13.1659     5.3300     15.000    28.7518    38.0856 0.0000e+00
     16.129  44.356984     0.7818    13.1665     5.3345     16.000    28.7518    38.0857 0.0000e+00
     17.137  44.357171     0.8835    13.1663     5.3461     17.000    28.7518    38.0857 0.0000e+00
     18.145  44.355132     0.9528    13.1643     5.3296     18.000    28.7519    38.0852 0.0000e+00
     19.153  44.357033     0.9541    13.1653     5.3333     19.000    28.7520    38.0856 0.0000e+00
     20.161  44.358963     1.0143    13.1663     5.3453     20.000    28.7521    38.0860 0.0000e+00
     21.169  44.359358     1.0607    13.1663     5.3482     21.000    28.7521    38.0859 0.0000e+00
     22.177  44.359687     1.0911    13.1663     5.3503     22.000    28.7520    38.0857 0.0000e+00
     23.185  44.361396     1.1044    13.1670     5.3381     23.000    28.7522    38.0862 0.0000e+00
     24.194  44.362278     1.1115    13.1673     5.3429     24.000    28.7523    38.0863 0.0000e+00
     25.202  44.362691     1.1159    13.1674     5.3429     25.000    28.7521    38.0861 0.0000e+00
     26.209  44.360797     1.0986    13.1650     5.3504     26.000    28.7528    38.0863 0.0000e+00
     27.218  44.358973     1.1269    13.1625     5.3414     27.000    28.7536    38.0865 0.0000e+00
     28.226  44.352931     1.0816    13.1556     5.3251     28.000    28.7555    38.0872 0.0000e+00
     29.234  44.352353     1.0603    13.1538     5.3333     29.000    28.7566    38.0880 0.0000e+00
     30.242  44.347180     1.0650    13.1476     5.3212     30.000    28.7585    38.0888 0.0000e+00
     31.250  44.344193     1.0711    13.1434     5.3072     31.000    28.7601    38.0897 0.0000e+00
     32.259  44.345793     0.9962    13.1445     5.3252     32.000    28.7599    38.0897 0.0000e+00
     33.267  44.344354     0.9999    13.1422     5.3193     33.000    28.7607    38.0901 0.0000e+00
     34.275  44.342679     1.0177    13.1396     5.3198     34.000    28.7618    38.0907 0.0000e+00
     35.283  44.343830     0.9773    13.1401     5.3140     35.000    28.7617    38.0907 0.0000e+00
     36.291  44.343868     1.0687    13.1395     5.3161     36.000    28.7621    38.0910 0.0000e+00
     37.299  44.343741     0.9621    13.1388     5.3225     37.000    28.7624    38.0911 0.0000e+00
     38.307  44.342272     0.9781    13.1365     5.3195     38.000    28.7631    38.0915 0.0000e+00
     39.316  44.335291     0.9675    13.1286     5.3132     39.000    28.7655    38.0923 0.0000e+00
     40.324  44.334918     0.9212    13.1275     5.3106     40.000    28.7659    38.0925 0.0000e+00
     41.332  44.328192     0.9117    13.1190     5.2923     41.000    28.7690    38.0942 0.0000e+00
     42.340  44.325051     0.9079    13.1126     5.2844     42.000    28.7726    38.0971 0.0000e+00
     43.348  44.325204     0.8810    13.1116     5.3090     43.000    28.7734    38.0978 0.0000e+00
     44.357  44.325681     0.8489    13.1119     5.2982     44.000    28.7732    38.0976 0.0000e+00
     45.365  44.326695     0.8563    13.1121     5.2940     45.000    28.7734    38.0979 0.0000e+00
     46.373  44.328444     0.8512    13.1119     5.3042     46.000    28.7745    38.0993 0.0000e+00
     47.381  44.329743     0.8263    13.1116     5.3072     47.000    28.7754    38.1003 0.0000e+00
     48.390  44.330368     0.8308    13.1118     5.2907     48.000    28.7754    38.1003 0.0000e+00
     49.398  44.332164     0.8277    13.1121     5.2950     49.000    28.7761    38.1012 0.0000e+00
     50.406  44.338740     0.8426    13.1136     5.2875     50.000    28.7792    38.1056 0.0000e+00
     51.414  44.343242     0.8075    13.1151     5.2834     51.000    28.7808    38.1080 0.0000e+00
     52.423  44.344804     0.7759    13.1155     5.2911     52.000    28.7812    38.1086 0.0000e+00
     53.431  44.348872     0.7727    13.1170     5.2899     53.000    28.7825    38.1106 0.0000e+00
     54.439  44.352871     0.7339    13.1185     5.2794     54.000    28.7836    38.1124 0.0000e+00
