       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      2.016  44.501972     0.0397    13.2961     5.1490      2.000    28.7364    38.1013 0.0000e+00
      3.024  44.503235     0.0394    13.2968     5.1322      3.000    28.7363    38.1014 0.0000e+00
      4.032  44.504842     0.0476    13.2979     5.1379      4.000    28.7361    38.1014 0.0000e+00
      5.040  44.505634     0.0498    13.2983     5.1386      5.000    28.7359    38.1013 0.0000e+00
      6.048  44.502368     0.0853    13.2955     5.1296      6.000    28.7360    38.1005 0.0000e+00
      7.056  44.502322     0.1076    13.2949     5.1350      7.000    28.7362    38.1006 0.0000e+00
      8.064  44.503077     0.1516    13.2952     5.1392      8.000    28.7362    38.1006 0.0000e+00
      9.072  44.503879     0.1633    13.2953     5.1455      9.000    28.7363    38.1008 0.0000e+00
     10.080  44.503805     0.1789    13.2948     5.1389     10.000    28.7364    38.1007 0.0000e+00
     11.088  44.502986     0.1978    13.2935     5.1388     11.000    28.7368    38.1008 0.0000e+00
     12.096  44.502718     0.2036    13.2925     5.1400     12.000    28.7372    38.1010 0.0000e+00
     13.104  44.503321     0.2264    13.2926     5.1396     13.000    28.7373    38.1011 0.0000e+00
     14.112  44.504069     0.2371    13.2928     5.1296     14.000    28.7373    38.1012 0.0000e+00
     15.121  44.504648     0.2474    13.2929     5.1360     15.000    28.7373    38.1012 0.0000e+00
     16.128  44.504404     0.2408    13.2921     5.1430     16.000    28.7376    38.1013 0.0000e+00
     17.137  44.504475     0.2522    13.2917     5.1441     17.000    28.7377    38.1013 0.0000e+00
     18.145  44.505031     0.2551    13.2918     5.1417     18.000    28.7377    38.1012 0.0000e+00
     19.153  44.505565     0.2860    13.2918     5.1350     19.000    28.7377    38.1013 0.0000e+00
     20.161  44.506521     0.2650    13.2922     5.1412     20.000    28.7377    38.1013 0.0000e+00
     21.169  44.507577     0.2798    13.2927     5.1344     21.000    28.7377    38.1014 0.0000e+00
     22.177  44.508126     0.2609    13.2927     5.1369     22.000    28.7378    38.1015 0.0000e+00
     23.185  44.508629     0.2907    13.2926     5.1374     23.000    28.7379    38.1016 0.0000e+00
     24.193  44.509158     0.2646    13.2926     5.1372     24.000    28.7379    38.1016 0.0000e+00
     25.201  44.509842     0.2778    13.2926     5.1395     25.000    28.7381    38.1018 0.0000e+00
     26.210  44.510835     0.2738    13.2932     5.1387     26.000    28.7381    38.1018 0.0000e+00
     27.218  44.511418     0.2961    13.2933     5.1390     27.000    28.7380    38.1018 0.0000e+00
     28.226  44.511146     0.2683    13.2927     5.1308     28.000    28.7381    38.1016 0.0000e+00
     29.234  44.512066     0.2573    13.2930     5.1190     29.000    28.7381    38.1017 0.0000e+00
     30.242  44.512674     0.2551    13.2933     5.1461     30.000    28.7379    38.1015 0.0000e+00
     31.250  44.513455     0.2627    13.2935     5.1477     31.000    28.7380    38.1016 0.0000e+00
     32.259  44.514616     0.2674    13.2940     5.1370     32.000    28.7381    38.1018 0.0000e+00
     33.266  44.515214     0.2546    13.2942     5.1358     33.000    28.7380    38.1017 0.0000e+00
     34.275  44.515549     0.2554    13.2941     5.1326     34.000    28.7380    38.1017 0.0000e+00
     35.283  44.516068     0.3009    13.2941     5.1368     35.000    28.7381    38.1017 0.0000e+00
     36.291  44.515387     0.2572    13.2929     5.1410     36.000    28.7384    38.1018 0.0000e+00
     37.299  44.511688     0.2594    13.2882     5.1536     37.000    28.7400    38.1025 0.0000e+00
     38.308  44.513053     0.2487    13.2887     5.1421     38.000    28.7401    38.1028 0.0000e+00
     39.316  44.513104     0.2464    13.2883     5.1399     39.000    28.7403    38.1028 0.0000e+00
     40.324  44.512111     0.2487    13.2867     5.1415     40.000    28.7408    38.1030 0.0000e+00
     41.332  44.512797     0.2558    13.2869     5.1493     41.000    28.7408    38.1030 0.0000e+00
     42.340  44.514028     0.2802    13.2877     5.1375     42.000    28.7406    38.1029 0.0000e+00
     43.348  44.514557     0.2604    13.2876     5.1410     43.000    28.7407    38.1031 0.0000e+00
     44.357  44.514490     0.2617    13.2867     5.1458     44.000    28.7413    38.1035 0.0000e+00
     45.365  44.514775     0.2580    13.2864     5.1475     45.000    28.7414    38.1036 0.0000e+00
     46.373  44.515266     0.2590    13.2863     5.1491     46.000    28.7415    38.1036 0.0000e+00
     47.382  44.513307     0.2668    13.2839     5.1488     47.000    28.7421    38.1037 0.0000e+00
     48.390  44.513505     0.2647    13.2834     5.1466     48.000    28.7424    38.1040 0.0000e+00
     49.398  44.513819     0.2638    13.2833     5.1463     49.000    28.7425    38.1040 0.0000e+00
     50.406  44.510418     0.2533    13.2795     5.1460     50.000    28.7433    38.1040 0.0000e+00
     51.414  44.504297     0.2700    13.2729     5.1441     51.000    28.7450    38.1043 0.0000e+00
     52.423  44.495014     0.2671    13.2633     5.1419     52.000    28.7472    38.1045 0.0000e+00
     53.431  44.492086     0.2701    13.2597     5.1546     53.000    28.7483    38.1049 0.0000e+00
     54.439  44.465177     0.2860    13.2336     5.1489     54.000    28.7537    38.1048 0.0000e+00
     55.447  44.424960     0.2754    13.1934     5.1444     55.000    28.7631    38.1061 0.0000e+00
     56.456  44.422349     0.2292    13.1882 -9.990e-29     56.000    28.7660    38.1084 0.0000e+00
