       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     -0.103   0.046778    -0.0414     8.3190     7.9961     -0.102    -0.1431     0.0329 -9.990e-29
     -0.103   0.046693    -0.0348     8.3189     8.0047     -0.102    -0.1431     0.0329 -9.990e-29
     -0.102   0.046615    -0.0370     8.3187     8.0062     -0.101    -0.1431     0.0328 -9.990e-29
     -0.101   0.046577    -0.0148     8.3185     8.0043     -0.100    -0.1431     0.0328 -9.990e-29
     -0.100   0.046607    -0.0292     8.3184     8.0068     -0.099    -0.1431     0.0328 -9.990e-29
     -0.099   0.046743    -0.0325     8.3184     8.0043     -0.098    -0.1430     0.0329 -9.990e-29
     -0.097   0.047048    -0.0237     8.3185     8.0062     -0.096    -0.1429     0.0331 -9.990e-29
     -0.096   0.047614    -0.0359     8.3187     8.0019     -0.095    -0.1426     0.0335 -9.990e-29
     -0.093   0.048606    -0.0270     8.3188     8.0014     -0.092    -0.1421     0.0342 -9.990e-29
     -0.091   0.050336    -0.0148     8.3188     7.9992     -0.090    -0.1412     0.0353 -9.990e-29
     -0.088   0.053286    -0.0270     8.3187     7.9983     -0.087    -0.1396     0.0373 -9.990e-29
     -0.084   0.058268    -0.0193     8.3187     8.0045     -0.083    -0.1369     0.0407 -9.990e-29
     -0.079   0.066697    -0.0215     8.3190     8.0081     -0.078    -0.1324     0.0464 -9.990e-29
     -0.073   0.080938    -0.0303     8.3198     8.0014     -0.072    -0.1247     0.0561 -9.990e-29
     -0.064   0.104902    -0.0359     8.3216     6.2862     -0.063    -0.1117     0.0727 -9.990e-29
     -0.054   0.145092    -0.0171     8.3252     5.8935     -0.054    -0.0896     0.1008 -9.990e-29
     -0.041   0.212323    -0.0359     8.3317     5.7552     -0.041    -0.0522     0.1485 -9.990e-29
     -0.024   0.324622    -0.0248     8.3434     5.6930     -0.024     0.0114     0.2297 -9.990e-29
     -0.003   0.512008    -0.0193     8.3640     5.6788     -0.003     0.1193     0.3679 -9.990e-29
      0.024   0.824464    -0.0414     8.3999     5.6857      0.024     0.3030     0.6033 -9.990e-29
      0.059   1.345279    -0.0126     8.4616     5.7253      0.059     0.6159     1.0052 -9.990e-29
      0.104   2.213380    -0.0204     8.5666     5.8003      0.103     1.1496     1.6926 -9.990e-29
      0.161   3.660410    -0.0314     8.7441     5.9101      0.160     2.0602     2.8694 -9.990e-29
      0.235   6.072294    -0.0148     9.0423     6.0913      0.233     3.6103     4.8816 -9.990e-29
      0.330  10.091584    -0.0248     9.5259     6.4290      0.327     6.2382     8.3103 -9.990e-29
      0.451  16.774671    -0.0115    10.1933     6.7127      0.447    10.6931    14.1406 -9.990e-29
      0.603  25.350499    -0.0137    10.9159     6.9442      0.598    16.5045    21.7626 -9.990e-29
      0.783  32.650319    -0.0082    11.5483     7.1565      0.777    21.4496    28.2726 -9.990e-29
      0.983  37.288218    -0.0115    12.0328     7.2288      0.975    24.5162    32.3380 -9.990e-29
      1.196  40.066497    -0.0060    12.3777     7.1457      1.187    26.2933    34.7128 -9.990e-29
      1.419  41.717067    -0.0171    12.6134     6.9298      1.408    27.3135    36.0872 -9.990e-29
      1.650  42.699584    -0.0193    12.7717     6.6081      1.637    27.9002    36.8842 -9.990e-29
      1.886  43.287484    -0.0226    12.8782     6.2293      1.871    28.2383    37.3478 -9.990e-29
      2.125  43.640643    -0.0115    12.9504     5.8589      2.108    28.4327    37.6173 -9.990e-29
      2.366  43.857169    -0.0049    12.9993     5.5179      2.347    28.5470    37.7776 -9.990e-29
