       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.008  44.451342     0.2231    13.2624     5.1437      1.000    28.7323    38.0871 0.0000e+00
      1.512  44.452518     0.2211    13.2628     5.1503      1.500    28.7326    38.0875 0.0000e+00
      2.016  44.453225     0.2344    13.2630     5.1422      2.000    28.7328    38.0878 0.0000e+00
      2.520  44.454832     0.2356    13.2639     5.1459      2.500    28.7330    38.0882 0.0000e+00
      3.024  44.455518     0.2422    13.2642     5.1578      3.000    28.7330    38.0883 0.0000e+00
      3.528  44.460641     0.2485    13.2678     5.1546      3.500    28.7331    38.0894 0.0000e+00
      4.032  44.468425     0.2465    13.2725     5.1540      4.000    28.7341    38.0919 0.0000e+00
      4.536  44.475109     0.2585    13.2753     5.1624      4.500    28.7361    38.0953 0.0000e+00
      5.040  44.477420     0.2704    13.2758     5.1650      5.000    28.7372    38.0969 0.0000e+00
      5.544  44.480413     0.2978    13.2748     5.1725      5.500    28.7403    38.1005 0.0000e+00
      6.048  44.480891     0.3184    13.2699     5.1784      6.000    28.7453    38.1056 0.0000e+00
      6.552  44.478816     0.3204    13.2637     5.1813      6.500    28.7497    38.1096 0.0000e+00
      7.056  44.478130     0.3532    13.2611     5.1710      7.000    28.7516    38.1113 0.0000e+00
      7.560  44.478337     0.4299    13.2605     5.1670      7.500    28.7522    38.1119 0.0000e+00
      8.064  44.478064     0.4423    13.2588     5.1759      8.000    28.7535    38.1131 0.0000e+00
      8.568  44.478123     0.4562    13.2565     5.1968      8.500    28.7557    38.1153 0.0000e+00
      9.072  44.479313     0.4727    13.2550     5.2025      9.000    28.7579    38.1177 0.0000e+00
      9.576  44.480574     0.4543    13.2541     5.1881      9.500    28.7595    38.1196 0.0000e+00
     10.080  44.481542     0.4877    13.2538     5.1830     10.000    28.7604    38.1206 0.0000e+00
     10.585  44.482734     0.5007    13.2536     5.1922     10.500    28.7613    38.1217 0.0000e+00
     11.089  44.485012     0.5065    13.2538     5.1916     11.000    28.7627    38.1235 0.0000e+00
     11.592  44.488485     0.5193    13.2543     5.1915     11.500    28.7646    38.1260 0.0000e+00
     12.096  44.491438     0.5114    13.2549     5.1948     12.000    28.7660    38.1280 0.0000e+00
     12.600  44.494064     0.5334    13.2558     5.1932     12.500    28.7669    38.1294 0.0000e+00
     13.104  44.497437     0.5568    13.2572     5.1939     13.000    28.7679    38.1310 0.0000e+00
     13.608  44.501060     0.5731    13.2589     5.2050     13.500    28.7688    38.1326 0.0000e+00
     14.112  44.504032     0.5642    13.2604     5.2044     14.000    28.7693    38.1337 0.0000e+00
     14.616  44.508051     0.5725    13.2627     5.1997     14.500    28.7699    38.1350 0.0000e+00
     15.120  44.514709     0.5957    13.2660     5.1903     15.000    28.7714    38.1379 0.0000e+00
     15.625  44.523642     0.6013    13.2705     5.1846     15.500    28.7735    38.1417 0.0000e+00
     16.129  44.535224     0.5847    13.2766     5.1857     16.000    28.7758    38.1464 0.0000e+00
     16.633  44.545009     0.6276    13.2819     5.1792     16.500    28.7778    38.1504 0.0000e+00
     17.137  44.550090     0.6571    13.2843     5.1793     17.000    28.7790    38.1526 0.0000e+00
     17.641  44.552663     0.6478    13.2843     5.1899     17.500    28.7808    38.1549 0.0000e+00
     18.145  44.558749     0.6500    13.2847     5.1880     18.000    28.7848    38.1600 0.0000e+00
     18.649  44.564985     0.6394    13.2845     5.1862     18.500    28.7894    38.1660 0.0000e+00
