       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      2.016  44.464760     0.3452    13.2461     5.1519      2.000    28.7581    38.1159 0.0000e+00
      3.024  44.466972     0.3584    13.2478     5.1548      3.000    28.7577    38.1158 0.0000e+00
      4.032  44.473041     0.3545    13.2521     5.1412      4.000    28.7577    38.1169 0.0000e+00
      5.040  44.483605     0.4027    13.2577     5.1663      5.000    28.7597    38.1210 0.0000e+00
      6.048  44.477118     0.4654    13.2480     5.1734      6.000    28.7642    38.1240 0.0000e+00
      7.056  44.463799     0.5250    13.2307     5.1863      7.000    28.7710    38.1281 0.0000e+00
      8.064  44.456940     0.5779    13.2208     5.1898      8.000    28.7753    38.1310 0.0000e+00
      9.072  44.450941     0.6245    13.2120     5.1915      9.000    28.7792    38.1337 0.0000e+00
     10.080  44.447828     0.5965    13.2040     5.1699     10.000    28.7845    38.1382 0.0000e+00
     11.088  44.446711     0.6152    13.2002     5.2045     11.000    28.7871    38.1405 0.0000e+00
     12.096  44.445577     0.6077    13.1979     5.2028     12.000    28.7882    38.1413 0.0000e+00
     13.105  44.442935     0.6191    13.1939     5.2001     13.000    28.7899    38.1423 0.0000e+00
     14.112  44.442195     0.5922    13.1919     5.2046     14.000    28.7910    38.1432 0.0000e+00
     15.121  44.438327     0.5946    13.1849     5.1854     15.000    28.7947    38.1460 0.0000e+00
     16.129  44.435828     0.6078    13.1788     5.1904     16.000    28.7985    38.1493 0.0000e+00
     17.137  44.436368     0.5955    13.1779     5.2120     17.000    28.7994    38.1502 0.0000e+00
     18.145  44.440121     0.5975    13.1787     5.2068     18.000    28.8012    38.1526 0.0000e+00
     19.153  44.442732     0.5885    13.1789     5.2073     19.000    28.8026    38.1544 0.0000e+00
     20.161  44.443266     0.5679    13.1783     5.1944     20.000    28.8033    38.1551 0.0000e+00
