       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.512  44.462791     0.3605    13.2446     5.1609      1.500    28.7583    38.1157 0.0000e+00
      1.764  44.464026     0.3500    13.2456     5.1569      1.750    28.7582    38.1158 0.0000e+00
      2.016  44.465205     0.3336    13.2464     5.1495      2.000    28.7581    38.1160 0.0000e+00
      2.268  44.465675     0.3169    13.2467     5.1456      2.250    28.7581    38.1160 0.0000e+00
      2.520  44.465674     0.3670    13.2467     5.1480      2.500    28.7580    38.1159 0.0000e+00
      2.772  44.466121     0.3465    13.2472     5.1547      2.750    28.7578    38.1158 0.0000e+00
      3.024  44.467027     0.3710    13.2479     5.1600      3.000    28.7577    38.1158 0.0000e+00
      3.276  44.467737     0.3525    13.2485     5.1558      3.250    28.7576    38.1158 0.0000e+00
      3.528  44.468520     0.3648    13.2490     5.1400      3.500    28.7575    38.1159 0.0000e+00
      3.780  44.469939     0.3251    13.2501     5.1313      3.750    28.7575    38.1161 0.0000e+00
      4.032  44.472647     0.3466    13.2520     5.1378      4.000    28.7575    38.1165 0.0000e+00
      4.284  44.476435     0.3888    13.2542     5.1526      4.250    28.7580    38.1179 0.0000e+00
      4.536  44.479700     0.3685    13.2559     5.1607      4.500    28.7588    38.1192 0.0000e+00
      4.788  44.481819     0.3885    13.2571     5.1702      4.750    28.7591    38.1200 0.0000e+00
      5.040  44.484104     0.3924    13.2581     5.1701      5.000    28.7597    38.1210 0.0000e+00
      5.292  44.485368     0.4418    13.2584     5.1629      5.250    28.7603    38.1218 0.0000e+00
      5.544  44.485465     0.3879    13.2574     5.1584      5.500    28.7613    38.1228 0.0000e+00
      5.796  44.481891     0.4542    13.2531     5.1640      5.750    28.7627    38.1236 0.0000e+00
      6.049  44.475712     0.4676    13.2471     5.1768      6.000    28.7640    38.1236 0.0000e+00
      6.300  44.471690     0.4792    13.2421     5.1834      6.250    28.7659    38.1246 0.0000e+00
      6.552  44.468682     0.5188    13.2379     5.1893      6.500    28.7677    38.1258 0.0000e+00
      6.804  44.465983     0.4988    13.2340     5.1894      6.750    28.7694    38.1270 0.0000e+00
      7.056  44.463669     0.5526    13.2306     5.1891      7.000    28.7711    38.1281 0.0000e+00
      7.308  44.461751     0.5087    13.2275     5.1815      7.250    28.7725    38.1293 0.0000e+00
      7.560  44.459758     0.5679    13.2248     5.1774      7.500    28.7737    38.1300 0.0000e+00
      7.812  44.458279     0.5506    13.2227     5.1841      7.750    28.7746    38.1306 0.0000e+00
      8.064  44.456988     0.5780    13.2208     5.1930      8.000    28.7754    38.1310 0.0000e+00
      8.316  44.455665     0.6115    13.2190     5.1967      8.250    28.7761    38.1315 0.0000e+00
      8.568  44.453879     0.6035    13.2169     5.1954      8.500    28.7768    38.1318 0.0000e+00
      8.820  44.452392     0.6207    13.2147     5.1971      8.750    28.7777    38.1324 0.0000e+00
      9.072  44.451060     0.6506    13.2122     5.1934      9.000    28.7791    38.1336 0.0000e+00
      9.324  44.449345     0.6134    13.2091     5.1866      9.250    28.7808    38.1349 0.0000e+00
      9.576  44.448452     0.5943    13.2068     5.1744      9.500    28.7823    38.1362 0.0000e+00
      9.828  44.447953     0.6272    13.2050     5.1680      9.750    28.7837    38.1375 0.0000e+00
     10.080  44.447661     0.5792    13.2036     5.1618     10.000    28.7848    38.1385 0.0000e+00
     10.332  44.447463     0.6131    13.2026     5.1686     10.250    28.7856    38.1392 0.0000e+00
