station	replica	date	time	depth	mesh_size	type	med_size	n
RN1	1	2/25/2020	10:27:00 AM	0	330	0	125	17
RN1	1	2/25/2020	10:27:00 AM	0	330	0	225	41
RN1	1	2/25/2020	10:27:00 AM	0	330	0	375	49
RN1	1	2/25/2020	10:27:00 AM	0	330	0	750	115
RN1	1	2/25/2020	10:27:00 AM	0	330	0	1250	44
RN1	1	2/25/2020	10:27:00 AM	0	330	0	1750	11
RN1	1	2/25/2020	10:27:00 AM	0	330	0	2250	3
RN1	1	2/25/2020	10:27:00 AM	0	330	0	2750	27
RN1	1	2/25/2020	10:27:00 AM	0	330	0	3250	4
RN1	1	2/25/2020	10:27:00 AM	0	330	0	3750	7
RN1	1	2/25/2020	10:27:00 AM	0	330	0	4250	2
RN1	1	2/25/2020	10:27:00 AM	0	330	0	4750	1
RN1	1	2/25/2020	10:27:00 AM	0	330	0	17500	5
RN1	1	2/25/2020	10:27:00 AM	0	330	1	125	3
RN1	1	2/25/2020	10:27:00 AM	0	330	1	225	2
RN1	1	2/25/2020	10:27:00 AM	0	330	1	375	5
RN1	1	2/25/2020	10:27:00 AM	0	330	1	750	2
RN1	1	2/25/2020	10:27:00 AM	0	330	1	1250	1
RN1	1	2/25/2020	10:27:00 AM	0	330	1	1750	0
RN1	1	2/25/2020	10:27:00 AM	0	330	1	2250	0
RN1	1	2/25/2020	10:27:00 AM	0	330	1	2750	0
RN1	1	2/25/2020	10:27:00 AM	0	330	1	3250	0
RN1	1	2/25/2020	10:27:00 AM	0	330	1	3750	0
RN1	1	2/25/2020	10:27:00 AM	0	330	1	4250	0
RN1	1	2/25/2020	10:27:00 AM	0	330	1	4750	0
RN1	1	2/25/2020	10:27:00 AM	0	330	1	17500	0
RN1	1	2/25/2020	10:27:00 AM	0	330	2	125	0
RN1	1	2/25/2020	10:27:00 AM	0	330	2	225	3
RN1	1	2/25/2020	10:27:00 AM	0	330	2	375	0
RN1	1	2/25/2020	10:27:00 AM	0	330	2	750	1
