station	replica	date	time	depth	mesh_size	type	med_size	n
RN2	1	3/18/2021	09:27:00 AM	55	250	0	125	2
RN2	1	3/18/2021	09:27:00 AM	55	250	0	225	3
RN2	1	3/18/2021	09:27:00 AM	55	250	0	375	8
RN2	1	3/18/2021	09:27:00 AM	55	250	0	750	12
RN2	1	3/18/2021	09:27:00 AM	55	250	0	1250	2
RN2	1	3/18/2021	09:27:00 AM	55	250	0	1750	3
RN2	1	3/18/2021	09:27:00 AM	55	250	0	2250	0
RN2	1	3/18/2021	09:27:00 AM	55	250	0	2750	2
RN2	1	3/18/2021	09:27:00 AM	55	250	0	3250	0
RN2	1	3/18/2021	09:27:00 AM	55	250	0	3750	0
RN2	1	3/18/2021	09:27:00 AM	55	250	0	4250	0
RN2	1	3/18/2021	09:27:00 AM	55	250	0	4750	1
RN2	1	3/18/2021	09:27:00 AM	55	250	0	17500	1
RN2	1	3/18/2021	09:27:00 AM	55	250	1	125	0
RN2	1	3/18/2021	09:27:00 AM	55	250	1	225	1
RN2	1	3/18/2021	09:27:00 AM	55	250	1	375	2
RN2	1	3/18/2021	09:27:00 AM	55	250	1	750	4
RN2	1	3/18/2021	09:27:00 AM	55	250	1	1250	0
RN2	1	3/18/2021	09:27:00 AM	55	250	1	1750	0
RN2	1	3/18/2021	09:27:00 AM	55	250	1	2250	0
RN2	1	3/18/2021	09:27:00 AM	55	250	1	2750	0
RN2	1	3/18/2021	09:27:00 AM	55	250	1	3250	0
RN2	1	3/18/2021	09:27:00 AM	55	250	1	3750	0
RN2	1	3/18/2021	09:27:00 AM	55	250	1	4250	0
RN2	1	3/18/2021	09:27:00 AM	55	250	1	4750	0
RN2	1	3/18/2021	09:27:00 AM	55	250	1	17500	0
RN2	1	3/18/2021	09:27:00 AM	55	250	2	125	0
RN2	1	3/18/2021	09:27:00 AM	55	250	2	225	0
RN2	1	3/18/2021	09:27:00 AM	55	250	2	375	0
RN2	1	3/18/2021	09:27:00 AM	55	250	2	750	0
RN2	1	3/18/2021	09:27:00 AM	55	250	2	1250	0
RN2	1	3/18/2021	09:27:00 AM	55	250	2	1750	0
RN2	1	3/18/2021	09:27:00 AM	55	250	2	2250	0
RN2	1	3/18/2021	09:27:00 AM	55	250	2	2750	0
RN2	1	3/18/2021	09:27:00 AM	55	250	2	3250	0
