station	date	time	depth	type	med_size	nature	density_max	density_min	n
NaN	NaN	NaN	0	0	275	xxx	NaN	NaN	1
NaN	NaN	NaN	0	0	325	NaN	NaN	NaN	28
NaN	NaN	NaN	0	0	375	NaN	NaN	NaN	27
NaN	NaN	NaN	0	0	425	lalalila la	NaN	NaN	19
NaN	NaN	NaN	0	0	475	NaN	NaN	NaN	19
NaN	NaN	NaN	0	0	525	NaN	NaN	NaN	26
NaN	NaN	NaN	0	0	575	NaN	NaN	NaN	14
NaN	NaN	NaN	0	0	625	NaN	NaN	NaN	14
NaN	NaN	NaN	0	0	675	NaN	NaN	NaN	12
NaN	NaN	NaN	0	0	725	NaN	NaN	NaN	6
NaN	NaN	NaN	0	0	775	NaN	NaN	NaN	8
NaN	NaN	NaN	0	0	825	NaN	NaN	NaN	4
NaN	NaN	NaN	0	0	875	NaN	NaN	NaN	4
NaN	NaN	NaN	0	0	925	NaN	NaN	NaN	3
NaN	NaN	NaN	0	0	975	NaN	NaN	NaN	7
NaN	NaN	NaN	0	0	1025	NaN	NaN	NaN	2
NaN	NaN	NaN	0	0	1075	NaN	NaN	NaN	5
NaN	NaN	NaN	0	0	1125	NaN	NaN	NaN	4
NaN	NaN	NaN	0	0	1175	NaN	NaN	NaN	5
NaN	NaN	NaN	0	0	1225	NaN	NaN	NaN	2
NaN	NaN	NaN	0	0	1275	NaN	NaN	NaN	3
NaN	NaN	NaN	0	0	1325	NaN	NaN	NaN	5
NaN	NaN	NaN	0	0	1375	NaN	NaN	NaN	5
NaN	NaN	NaN	0	0	1425	NaN	NaN	NaN	2
NaN	NaN	NaN	0	0	1475	NaN	NaN	NaN	4
NaN	NaN	NaN	0	0	1525	NaN	NaN	NaN	4
NaN	NaN	NaN	0	0	1625	NaN	NaN	NaN	2
NaN	NaN	NaN	0	0	1675	NaN	NaN	NaN	2
NaN	NaN	NaN	0	0	1725	NaN	NaN	NaN	3
NaN	NaN	NaN	0	0	1775	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	1825	NaN	NaN	NaN	2
NaN	NaN	NaN	0	0	1875	NaN	NaN	NaN	4
NaN	NaN	NaN	0	0	1925	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	1975	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	2025	NaN	NaN	NaN	3
NaN	NaN	NaN	0	0	2075	NaN	NaN	NaN	2
NaN	NaN	NaN	0	0	2125	NaN	NaN	NaN	3
NaN	NaN	NaN	0	0	2175	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	2225	NaN	NaN	NaN	2
NaN	NaN	NaN	0	0	2275	NaN	NaN	NaN	2
NaN	NaN	NaN	0	0	2325	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	2375	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	2425	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	2475	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	2625	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	2875	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	2975	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	3075	NaN	NaN	NaN	3
NaN	NaN	NaN	0	0	3125	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	3225	NaN	NaN	NaN	3
NaN	NaN	NaN	0	0	3275	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	3375	NaN	NaN	NaN	2
NaN	NaN	NaN	0	0	3725	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	4575	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	4725	NaN	NaN	NaN	1
NaN	NaN	NaN	0	0	6175	NaN	NaN	NaN	1
NaN	NaN	NaN	1	0	275	NaN	NaN	NaN	2
NaN	NaN	NaN	1	0	325	NaN	NaN	NaN	43
NaN	NaN	NaN	1	0	375	NaN	NaN	NaN	30
NaN	NaN	NaN	1	0	425	NaN	NaN	NaN	31
NaN	NaN	NaN	1	0	475	NaN	NaN	NaN	24
NaN	NaN	NaN	1	0	525	NaN	NaN	NaN	9
NaN	NaN	NaN	1	0	575	NaN	NaN	NaN	29
NaN	NaN	NaN	1	0	625	NaN	NaN	NaN	14
NaN	NaN	NaN	1	0	675	NaN	NaN	NaN	14
NaN	NaN	NaN	1	0	725	NaN	NaN	NaN	12
NaN	NaN	NaN	1	0	775	NaN	NaN	NaN	10
NaN	NaN	NaN	1	0	825	NaN	NaN	NaN	13
NaN	NaN	NaN	1	0	875	NaN	NaN	NaN	12
NaN	NaN	NaN	1	0	925	NaN	NaN	NaN	8
NaN	NaN	NaN	1	0	975	NaN	NaN	NaN	10
NaN	NaN	NaN	1	0	1025	NaN	NaN	NaN	4
NaN	NaN	NaN	1	0	1075	NaN	NaN	NaN	5
NaN	NaN	NaN	1	0	1125	NaN	NaN	NaN	8
NaN	NaN	NaN	1	0	1175	NaN	NaN	NaN	3
NaN	NaN	NaN	1	0	1225	NaN	NaN	NaN	6
NaN	NaN	NaN	1	0	1275	NaN	NaN	NaN	2
NaN	NaN	NaN	1	0	1325	NaN	NaN	NaN	6
NaN	NaN	NaN	1	0	1375	NaN	NaN	NaN	6
NaN	NaN	NaN	1	0	1425	NaN	NaN	NaN	2
NaN	NaN	NaN	1	0	1525	NaN	NaN	NaN	3
NaN	NaN	NaN	1	0	1575	NaN	NaN	NaN	3
NaN	NaN	NaN	1	0	1625	NaN	NaN	NaN	3
NaN	NaN	NaN	1	0	1725	NaN	NaN	NaN	1
NaN	NaN	NaN	1	0	1775	NaN	NaN	NaN	3
NaN	NaN	NaN	1	0	1825	NaN	NaN	NaN	2
NaN	NaN	NaN	1	0	1875	NaN	NaN	NaN	3
NaN	NaN	NaN	1	0	1925	NaN	NaN	NaN	1
NaN	NaN	NaN	1	0	2075	NaN	NaN	NaN	1
NaN	NaN	NaN	1	0	2125	NaN	NaN	NaN	2
NaN	NaN	NaN	1	0	2275	NaN	NaN	NaN	1
NaN	NaN	NaN	1	0	2325	NaN	NaN	NaN	1
NaN	NaN	NaN	1	0	2375	NaN	NaN	NaN	1
NaN	NaN	NaN	1	0	2425	NaN	NaN	NaN	1
NaN	NaN	NaN	1	0	2525	NaN	NaN	NaN	1
NaN	NaN	NaN	1	0	2575	NaN	NaN	NaN	1
NaN	NaN	NaN	1	0	2725	NaN	NaN	NaN	1
NaN	NaN	NaN	1	0	2825	NaN	NaN	NaN	2
NaN	NaN	NaN	1	0	2875	NaN	NaN	NaN	1
NaN	NaN	NaN	1	0	3025	NaN	NaN	NaN	1
